STD_YMD|ORG|DEST|M_0004|M_0509|M_1014|M_1519|M_2024|M_2529|M_3034|M_3539|M_4044|M_4549|M_5054|M_5559|M_6064|M_6569|M_7074|M_7579|M_8084|M_8589|M_9094|M_9599|M_1000|W_0004|W_0509|W_1014|W_1519|W_2024|W_2529|W_3034|W_3539|W_4044|W_4549|W_5054|W_5559|W_6064|W_6569|W_7074|W_7579|W_8084|W_8589|W_9094|W_9599|W_1000
20180409|4782025000|4725055000|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|4729033000|0|0|0|0|0|0|0|2.76|0|0|0|2.76|0|0|0|2.76|2.76|0|0|0|0|0|0|0|0|0|2.76|0|0|2.76|0|0|0|2.76|0|0|0|0|0|0|0|0
20180409|4782025000|1159060500|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|2671025000|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|2726052000|0|0|0|0|0|0|0|0|2.76|2.76|0|2.76|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.52|2.76|2.76|2.76|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|4161033000|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|4785033000|0|0|0|0|0|0|0|0|0|0|0|0|2.76|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|4825025000|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0
20180409|4782025000|2641063500|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|4723039000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|4782036000|0|0|0|0|0|11.04|0|5.52|2.76|19.31|11.04|2.76|2.76|8.28|0|2.76|2.76|0|0|0|0|0|0|0|2.76|0|2.76|0|5.52|2.76|5.52|5.52|0|0|0|0|0|2.76|0|0|0|0
20180409|4782025000|4827036000|0|0|0|0|0|2.76|0|0|0|0|0|0|5.52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0
20180409|4782025000|2650077000|0|0|0|0|0|0|0|0|0|0|0|5.52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|2714068500|0|0|0|0|0|0|0|0|0|2.76|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0
20180409|4782025000|4413152000|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|2729062800|0|0|0|0|2.76|0|0|0|2.76|5.52|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|2.76|2.76|2.76|0|0|0|0|0|0|0
20180409|4782025000|3111053000|0|0|0|0|0|5.52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0
20180409|4782025000|4150025300|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20180409|4782025000|2714067000|0|0|0|0|0|2.76|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|2.76|2.76|0|0|0|0|0|0|0|0
20180409|4782025000|2720055000|0|0|0|0|0|2.76|0|0|0|0|5.52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.52|0|0|0|0|5.52|5.52|2.76|0|0|0|0|0|0|0
20180409|4782025000|2729057100|0|0|0|0|0|0|0|0|0|5.52|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
